# Words 1-200

| # | English | Lao | Lao Pronunciation | Japanese | Japanese Pronunciation | Vietnamese | Vietnamese Pronunciation | English Meaning | Chinese Meaning |
| 178 | affordability | ຄວາມສາມາດຈ່າຍໄດ້ | khwam sa mat chai dai | 手頃さ | tegorosa | khả năng chi trả | khả năng chi trả | the state of being affordable | 可负担性，价格合理性 |
| 179 | afloat | ລອຍ | loi | 浮かんで | ukande | nổi | nổi | floating in water, not sinking | 漂浮的，在水上的 |
| 180 | afraid | ຢ້ານ | yan | 恐れて | osorete | sợ | sợ | feeling fear or anxiety, frightened | 害怕的，担心的 |
| 181 | after | ຫຼັງ | lang | 後で | ato de | sau | sau | in the time following an event or another period of time | 在...之后，后来 |
| 182 | aftermath | ຜົນສະທ້ອນ | phon sa thon | 余波 | yoha | hậu quả | hậu quả | the consequences or aftereffects of a significant unpleasant event | 后果，余波 |
| 183 | afternoon | ຕອນບ່າຍ | ton bai | 午後 | gogo | buổi chiều | buổi chiều | the time from noon or lunchtime to evening | 下午 |
| 184 | afterward | ຫຼັງຈາກນັ້ນ | lang chak nan | その後 | sono ato | sau đó | sau đó | at a later or future time, subsequently | 后来，之后 |
| 185 | afterwards | ຫຼັງຈາກນັ້ນ | lang chak nan | その後 | sono ato | sau đó | sau đó | at a later or future time, subsequently | 后来，之后 |
| 186 | again | ອີກຄັ້ງ | ik khang | 再び | futatabi | lại | lại | another time, once more | 再次，又 |
| 187 | against | ຕໍ່ | to | に対して | ni taishite | chống lại | chống lại | in opposition to, contrary to | 反对，对着 |
| 188 | age | ອາຍຸ | a nyu | 年齢 | nenrei | tuổi | tuổi | the length of time that a person has lived or a thing has existed | 年龄，时代 |
| 189 | aged | ແກ່ | kae | 年を取った | toshi o totta | già | già | having lived for a specified length of time, old | 年老的，...岁的 |
| 190 | aging | ການແກ່ | kan kae | 老化 | rōka | lão hóa | lão hóa | the process of growing old | 老化，变老 |
| 191 | ageing | ການແກ່ | kan kae | 老化 | rōka | lão hóa | lão hóa | the process of growing old | 老化，变老 |
| 192 | agenda | ລາຍການ | lai kan | 議題 | gidai | chương trình | chương trình | a list of items to be discussed at a formal meeting | 议程，日程 |
| 193 | agent | ຕົວແທນ | tua taen | 代理人 | dairinin | đại lý | đại lý | a person who acts on behalf of another person or group | 代理人，代理商 |
| 194 | agency | ສຳນັກງານ | sam nak ngan | 代理店 | dairiten | cơ quan | cơ quan | a business or organization established to provide a particular service | 代理机构，办事处 |
| 195 | aggravate | ເຮັດໃຫ້ເພີ່ມຂຶ້ນ | het hai phoem khun | 悪化させる | akka saseru | làm trầm trọng | làm trầm trọng | to make a problem, injury, or offense worse or more serious | 加重，使恶化 |
| 196 | aggravation | ການເພີ່ມຂຶ້ນ | kan phoem khun | 悪化 | akka | sự trầm trọng | sự trầm trọng | the state of becoming worse or more serious | 加重，恶化 |
| 197 | aggregate | ລວມ | luam | 集計 | shūkei | tổng hợp | tổng hợp | a whole formed by combining several separate elements | 总计，集合 |
| 198 | aggressive | ກ້າຫານ | ka han | 攻撃的な | kōgekiteki na | hung hăng | hung hăng | ready or likely to attack or confront, characterized by or resulting from aggression | 侵略的，好斗的 |
| 199 | aggression | ການກ້າຫານ | kan ka han | 攻撃 | kōgeki | sự hung hăng | sự hung hăng | hostile or violent behavior or attitudes toward another | 侵略，攻击 |
| 200 | agitate | ກະຕຸ້ນ | ka tun | かき混ぜる | kakimazeru | khuấy động | khuấy động | to make someone troubled or nervous, to stir or disturb | 煽动，搅动 |
